Chassis,Tonnage,TechBase
adder,35,Clan
annihilator,100,InnerSphere
archer,70,InnerSphere
arcticcheetah,30,Clan
arcticwolf,40,Clan
assassin,40,InnerSphere
atlas,100,InnerSphere
awesome,80,InnerSphere
banshee,95,InnerSphere
battlemaster,85,InnerSphere
blackjack,45,InnerSphere
blackknight,75,InnerSphere
blacklanner,55,Clan
bloodasp,90,Clan
bushwacker,55,InnerSphere
cataphract,70,InnerSphere
catapult,65,InnerSphere
centurion,50,InnerSphere
champion,60,InnerSphere
charger,80,InnerSphere
cicada,40,InnerSphere
clanannihilator,100,Clan
clanwolfhound,35,Clan
commando,25,InnerSphere
corsair,95,InnerSphere
cougar,35,Clan
crab,50,InnerSphere
crusader,65,InnerSphere
cyclops,90,InnerSphere
dervish,55,InnerSphere
direwolf,100,Clan
dragon,60,InnerSphere
ebonjaguar,65,Clan
enforcer,50,InnerSphere
executioner,95,Clan
fafnir,100,InnerSphere
firestarter,35,InnerSphere
flea,20,InnerSphere
gargoyle,80,Clan
grasshopper,70,InnerSphere
griffin,25,InnerSphere
hatamotochi,80,InnerSphere
hatchetman,45,InnerSphere
hellbringer,65,Clan
hellfire,60,Clan
hellspawn,45,InnerSphere
highlander,90,InnerSphere
highlanderiic,90,Clan
hunchback,50,InnerSphere
hunchbackiic,50,Clan
huntsman,50,Clan
iceferret,45,Clan
incubus,30,Clan
jagermech,65,InnerSphere
javelin,30,InnerSphere
jenner,35,InnerSphere
jenneriic,35,Clan
kingcrab,100,InnerSphere
kintaro,55,InnerSphere
kitfox,30,Clan
kodiak,100,Clan
linebacker,65,Clan
locust,20,InnerSphere
longbow,85,InnerSphere
madcatmkii,90,Clan
maddog,60,Clan
marauder,75,InnerSphere
marauderii,100,InnerSphere
marauderiic,85,Clan
mauler,90,InnerSphere
mistlynx,25,Clan
nightgyr,75,Clan
nightstar,95,InnerSphere
nova,50,Clan
novacat,70,Clan
orion,75,InnerSphere
orioniic,75,Clan
osiris,30,InnerSphere
panther,35,InnerSphere
phoenixhawk,45,InnerSphere
piranha,20,Clan
quickdraw,60,InnerSphere
raven,35,InnerSphere
rifleman,60,InnerSphere
riflemaniic,65,Clan
roughneck,65,InnerSphere
shadowcat,45,Clan
shadowhawk,55,InnerSphere
spider,30,InnerSphere
stalker,85,InnerSphere
stonerhino,100,Clan
stormcrow,55,Clan
summoner,70,Clan
sunspider,70,Clan
supernova,90,Clan
thanatos,75,InnerSphere
thunderbolt,65,InnerSphere
timberwolf,75,Clan
trebuchet,50,InnerSphere
urbanmech,30,InnerSphere
urbanmechiic,30,Clan
uziel,50,InnerSphere
vaporeagle,55,Clan
victor,80,InnerSphere
vindicator,45,InnerSphere
viper,40,Clan
vulcan,40,InnerSphere
warhammer,70,InnerSphere
warhammeriic,80,Clan
warhawk,85,Clan
wolfhound,35,InnerSphere
wolverine,55,InnerSphere
zeus,80,InnerSphere
